ticker;name;sector;price;currency;rating;dividend_yield;market;last_updated
NOVO-B;Novozymes B;Health Care;1030;DKK;AA;1,6;Nasdaq Copenhagen;01-07-2025
MAERSK-B;A,P, Møller - Mærsk B;Industrials;17324;DKK;A+;0,5;Nasdaq Copenhagen;01-07-2025
CARL-B;Carlsberg B;Consumer Goods;1040;DKK;A;2,2;Nasdaq Copenhagen;01-07-2025
DANSKE;Danske Bank;Financials;225;DKK;BBB+;4,5;Nasdaq Copenhagen;01-07-2025
VWS;Vestas Wind Systems;Energy;143;DKK;A-;0;Nasdaq Copenhagen;01-07-2025
ORSTED;Ørsted;Utilities;382;DKK;A;1,8;Nasdaq Copenhagen;01-07-2025
COLO-B;Coloplast B;Health Care;931;DKK;AA-;1,5;Nasdaq Copenhagen;01-07-2025
ROCK-B;Rockwool B;Industrials;2309;DKK;A+;2;Nasdaq Copenhagen;01-07-2025
PANDORA;Pandora;Consumer Goods;1132;DKK;BBB;3,1;Nasdaq Copenhagen;01-07-2025
GN;GN Store Nord;Health Care;193;DKK;BBB-;0,8;Nasdaq Copenhagen;01-07-2025
TRYG;Tryg;Financials;184;DKK;A-;3,9;Nasdaq Copenhagen;01-07-2025
DSV;DSV A/S;Industrials;2146;DKK;AA-;1;Nasdaq Copenhagen;01-07-2025
NETC;Netcompany;Technology;406;DKK;BBB+;0;Nasdaq Copenhagen;01-07-2025
AMBU-B;Ambu B;Health Care;99;DKK;BB+;0;Nasdaq Copenhagen;01-07-2025
TOP;Topdanmark;Financials;395;DKK;A;4,2;Nasdaq Copenhagen;01-07-2025
ISS;ISS A/S;Industrials;131;DKK;BBB;3;Nasdaq Copenhagen;01-07-2025
JYSK;Jyske Bank;Financials;527;DKK;BBB+;3,5;Nasdaq Copenhagen;01-07-2025
NZYM-B;Novozymes B;Health Care;391;DKK;AA;1,2;Nasdaq Copenhagen;01-07-2025
SAS-DKK;SAS AB;Industrials;1,2;DKK;B-;0;Nasdaq Copenhagen;01-07-2025
SIM;SimCorp;Technology;829;DKK;A-;1,7;Nasdaq Copenhagen;01-07-2025
TRMD-B;Torm B;Energy;263;DKK;BB+;2,8;Nasdaq Copenhagen;01-07-2025
BAKKO;Bavarian Nordic;Health Care;276;DKK;BB;0;Nasdaq Copenhagen;01-07-2025
ALK-B;ALK-Abelló B;Health Care;1228;DKK;A-;0,9;Nasdaq Copenhagen;01-07-2025
NKT;NKT A/S;Industrials;934;DKK;BBB+;1,4;Nasdaq Copenhagen;01-07-2025
CHEMM;Chemometec;Health Care;826;DKK;BB;0;Nasdaq Copenhagen;01-07-2025
